,states,states_code,id,year,population
0,Alabama,AL,1,2010,4785437
1,Alaska,AK,2,2010,713910
2,Arizona,AZ,4,2010,6407172
3,Arkansas,AR,5,2010,2921964
4,California,CA,6,2010,37319502
5,Colorado,CO,8,2010,5047349
6,Connecticut,CT,9,2010,3579114
7,Delaware,DE,10,2010,899593
8,District of Columbia,DC,11,2010,605226
9,Florida,FL,12,2010,18845537
10,Georgia,GA,13,2010,9711881
11,Hawaii,HI,15,2010,1363963
12,Idaho,ID,16,2010,1570746
13,Illinois,IL,17,2010,12840503
14,Indiana,IN,18,2010,6490432
15,Iowa,IA,19,2010,3050745
16,Kansas,KS,20,2010,2858190
17,Kentucky,KY,21,2010,4348181
18,Louisiana,LA,22,2010,4544532
19,Maine,ME,23,2010,1327629
20,Maryland,MD,24,2010,5788645
21,Massachusetts,MA,25,2010,6566307
22,Michigan,MI,26,2010,9877510
23,Minnesota,MN,27,2010,5310828
24,Mississippi,MS,28,2010,2970548
25,Missouri,MO,29,2010,5995974
26,Montana,MT,30,2010,990697
27,Nebraska,NE,31,2010,1829542
28,Nevada,NV,32,2010,2702405
29,New Hampshire,NH,33,2010,1316762
30,New Jersey,NJ,34,2010,8799446
31,New Mexico,NM,35,2010,2064552
32,New York,NY,36,2010,19399878
33,North Carolina,NC,37,2010,9574323
34,North Dakota,ND,38,2010,674715
35,Ohio,OH,39,2010,11539336
36,Oklahoma,OK,40,2010,3759944
37,Oregon,OR,41,2010,3837491
38,Pennsylvania,PA,42,2010,12711160
39,Rhode Island,RI,44,2010,1053959
40,South Carolina,SC,45,2010,4635649
41,South Dakota,SD,46,2010,816166
42,Tennessee,TN,47,2010,6355311
43,Texas,TX,48,2010,25241971
44,Utah,UT,49,2010,2775332
45,Vermont,VT,50,2010,625879
46,Virginia,VA,51,2010,8023699
47,Washington,WA,53,2010,6742830
48,West Virginia,WV,54,2010,1854239
49,Wisconsin,WI,55,2010,5690475
50,Wyoming,WY,56,2010,564487
51,Puerto Rico,PR,72,2010,3721525
52,Alabama,AL,1,2011,4799069
53,Alaska,AK,2,2011,722128
54,Arizona,AZ,4,2011,6472643
55,Arkansas,AR,5,2011,2940667
56,California,CA,6,2011,37638369
57,Colorado,CO,8,2011,5121108
58,Connecticut,CT,9,2011,3588283
59,Delaware,DE,10,2011,907381
60,District of Columbia,DC,11,2011,619800
61,Florida,FL,12,2011,19053237
62,Georgia,GA,13,2011,9802431
63,Hawaii,HI,15,2011,1379329
64,Idaho,ID,16,2011,1583910
65,Illinois,IL,17,2011,12867454
66,Indiana,IN,18,2011,6516528
67,Iowa,IA,19,2011,3066336
68,Kansas,KS,20,2011,2869225
69,Kentucky,KY,21,2011,4369821
70,Louisiana,LA,22,2011,4575625
71,Maine,ME,23,2011,1328284
72,Maryland,MD,24,2011,5839419
73,Massachusetts,MA,25,2011,6613583
74,Michigan,MI,26,2011,9882412
75,Minnesota,MN,27,2011,5346143
76,Mississippi,MS,28,2011,2978731
77,Missouri,MO,29,2011,6010275
78,Montana,MT,30,2011,997316
79,Nebraska,NE,31,2011,1840672
80,Nevada,NV,32,2011,2712730
81,New Hampshire,NH,33,2011,1320202
82,New Jersey,NJ,34,2011,8828117
83,New Mexico,NM,35,2011,2080450
84,New York,NY,36,2011,19499241
85,North Carolina,NC,37,2011,9657592
86,North Dakota,ND,38,2011,685225
87,Ohio,OH,39,2011,11544663
88,Oklahoma,OK,40,2011,3788379
89,Oregon,OR,41,2011,3872036
90,Pennsylvania,PA,42,2011,12745815
91,Rhode Island,RI,44,2011,1053649
92,South Carolina,SC,45,2011,4671994
93,South Dakota,SD,46,2011,823579
94,Tennessee,TN,47,2011,6399291
95,Texas,TX,48,2011,25645629
96,Utah,UT,49,2011,2814384
97,Vermont,VT,50,2011,627049
98,Virginia,VA,51,2011,8101155
99,Washington,WA,53,2011,6826627
100,West Virginia,WV,54,2011,1856301
101,Wisconsin,WI,55,2011,5705288
102,Wyoming,WY,56,2011,567299
103,Puerto Rico,PR,72,2011,3678732
104,Alabama,AL,1,2012,4815588
105,Alaska,AK,2,2012,730443
106,Arizona,AZ,4,2012,6554978
107,Arkansas,AR,5,2012,2952164
108,California,CA,6,2012,37948800
109,Colorado,CO,8,2012,5192647
110,Connecticut,CT,9,2012,3594547
111,Delaware,DE,10,2012,915179
112,District of Columbia,DC,11,2012,634924
113,Florida,FL,12,2012,19297822
114,Georgia,GA,13,2012,9901430
115,Hawaii,HI,15,2012,1394804
116,Idaho,ID,16,2012,1595324
117,Illinois,IL,17,2012,12882510
118,Indiana,IN,18,2012,6537703
119,Iowa,IA,19,2012,3076190
120,Kansas,KS,20,2012,2885257
121,Kentucky,KY,21,2012,4386346
122,Louisiana,LA,22,2012,4600972
123,Maine,ME,23,2012,1327729
124,Maryland,MD,24,2012,5886992
125,Massachusetts,MA,25,2012,6663005
126,Michigan,MI,26,2012,9897145
127,Minnesota,MN,27,2012,5376643
128,Mississippi,MS,28,2012,2983816
129,Missouri,MO,29,2012,6024367
130,Montana,MT,30,2012,1003783
131,Nebraska,NE,31,2012,1853303
132,Nevada,NV,32,2012,2743996
133,New Hampshire,NH,33,2012,1324232
134,New Jersey,NJ,34,2012,8844942
135,New Mexico,NM,35,2012,2087309
136,New York,NY,36,2012,19572932
137,North Carolina,NC,37,2012,9749476
138,North Dakota,ND,38,2012,701176
139,Ohio,OH,39,2012,11548923
140,Oklahoma,OK,40,2012,3818814
141,Oregon,OR,41,2012,3899001
142,Pennsylvania,PA,42,2012,12767118
143,Rhode Island,RI,44,2012,1054621
144,South Carolina,SC,45,2012,4717354
145,South Dakota,SD,46,2012,833566
146,Tennessee,TN,47,2012,6453898
147,Texas,TX,48,2012,26084481
148,Utah,UT,49,2012,2853375
149,Vermont,VT,50,2012,626090
150,Virginia,VA,51,2012,8185080
151,Washington,WA,53,2012,6897058
152,West Virginia,WV,54,2012,1856872
153,Wisconsin,WI,55,2012,5719960
154,Wyoming,WY,56,2012,576305
155,Puerto Rico,PR,72,2012,3634488
156,Alabama,AL,1,2013,4830081
157,Alaska,AK,2,2013,737068
158,Arizona,AZ,4,2013,6632764
159,Arkansas,AR,5,2013,2959400
160,California,CA,6,2013,38260787
161,Colorado,CO,8,2013,5269035
162,Connecticut,CT,9,2013,3594841
163,Delaware,DE,10,2013,923576
164,District of Columbia,DC,11,2013,650581
165,Florida,FL,12,2013,19545621
166,Georgia,GA,13,2013,9972479
167,Hawaii,HI,15,2013,1408243
168,Idaho,ID,16,2013,1611206
169,Illinois,IL,17,2013,12895129
170,Indiana,IN,18,2013,6568713
171,Iowa,IA,19,2013,3092997
172,Kansas,KS,20,2013,2893212
173,Kentucky,KY,21,2013,4404659
174,Louisiana,LA,22,2013,4624527
175,Maine,ME,23,2013,1328009
176,Maryland,MD,24,2013,5923188
177,Massachusetts,MA,25,2013,6713315
178,Michigan,MI,26,2013,9913065
179,Minnesota,MN,27,2013,5413479
180,Mississippi,MS,28,2013,2988711
181,Missouri,MO,29,2013,6040715
182,Montana,MT,30,2013,1013569
183,Nebraska,NE,31,2013,1865279
184,Nevada,NV,32,2013,2775970
185,New Hampshire,NH,33,2013,1326622
186,New Jersey,NJ,34,2013,8856972
187,New Mexico,NM,35,2013,2092273
188,New York,NY,36,2013,19624447
189,North Carolina,NC,37,2013,9843336
190,North Dakota,ND,38,2013,722036
191,Ohio,OH,39,2013,11576684
192,Oklahoma,OK,40,2013,3853214
193,Oregon,OR,41,2013,3922468
194,Pennsylvania,PA,42,2013,12776309
195,Rhode Island,RI,44,2013,1055081
196,South Carolina,SC,45,2013,4764080
197,South Dakota,SD,46,2013,842316
198,Tennessee,TN,47,2013,6494340
199,Texas,TX,48,2013,26480266
200,Utah,UT,49,2013,2897640
201,Vermont,VT,50,2013,626210
202,Virginia,VA,51,2013,8252427
203,Washington,WA,53,2013,6963985
204,West Virginia,WV,54,2013,1853914
205,Wisconsin,WI,55,2013,5736754
206,Wyoming,WY,56,2013,582122
207,Puerto Rico,PR,72,2013,3593077
208,Alabama,AL,1,2014,4841799
209,Alaska,AK,2,2014,736283
210,Arizona,AZ,4,2014,6730413
211,Arkansas,AR,5,2014,2967392
212,California,CA,6,2014,38596972
213,Colorado,CO,8,2014,5350101
214,Connecticut,CT,9,2014,3594524
215,Delaware,DE,10,2014,932487
216,District of Columbia,DC,11,2014,662328
217,Florida,FL,12,2014,19845911
218,Georgia,GA,13,2014,10067278
219,Hawaii,HI,15,2014,1414538
220,Idaho,ID,16,2014,1631112
221,Illinois,IL,17,2014,12884493
222,Indiana,IN,18,2014,6593644
223,Iowa,IA,19,2014,3109350
224,Kansas,KS,20,2014,2900475
225,Kentucky,KY,21,2014,4414349
226,Louisiana,LA,22,2014,4644013
227,Maine,ME,23,2014,1330513
228,Maryland,MD,24,2014,5957283
229,Massachusetts,MA,25,2014,6762596
230,Michigan,MI,26,2014,9929848
231,Minnesota,MN,27,2014,5451079
232,Mississippi,MS,28,2014,2990468
233,Missouri,MO,29,2014,6056202
234,Montana,MT,30,2014,1021869
235,Nebraska,NE,31,2014,1879321
236,Nevada,NV,32,2014,2817628
237,New Hampshire,NH,33,2014,1333341
238,New Jersey,NJ,34,2014,8864525
239,New Mexico,NM,35,2014,2089568
240,New York,NY,36,2014,19651049
241,North Carolina,NC,37,2014,9932887
242,North Dakota,ND,38,2014,737401
243,Ohio,OH,39,2014,11602700
244,Oklahoma,OK,40,2014,3878187
245,Oregon,OR,41,2014,3963244
246,Pennsylvania,PA,42,2014,12788313
247,Rhode Island,RI,44,2014,1055936
248,South Carolina,SC,45,2014,4823617
249,South Dakota,SD,46,2014,849129
250,Tennessee,TN,47,2014,6541223
251,Texas,TX,48,2014,26964333
252,Utah,UT,49,2014,2936879
253,Vermont,VT,50,2014,625214
254,Virginia,VA,51,2014,8310993
255,Washington,WA,53,2014,7054655
256,West Virginia,WV,54,2014,1849489
257,Wisconsin,WI,55,2014,5751525
258,Wyoming,WY,56,2014,582531
259,Puerto Rico,PR,72,2014,3534874
260,Alabama,AL,1,2015,4852347
261,Alaska,AK,2,2015,737498
262,Arizona,AZ,4,2015,6829676
263,Arkansas,AR,5,2015,2978048
264,California,CA,6,2015,38918045
265,Colorado,CO,8,2015,5450623
266,Connecticut,CT,9,2015,3587122
267,Delaware,DE,10,2015,941252
268,District of Columbia,DC,11,2015,675400
269,Florida,FL,12,2015,20209042
270,Georgia,GA,13,2015,10178447
271,Hawaii,HI,15,2015,1422052
272,Idaho,ID,16,2015,1651059
273,Illinois,IL,17,2015,12858913
274,Indiana,IN,18,2015,6608422
275,Iowa,IA,19,2015,3120960
276,Kansas,KS,20,2015,2909011
277,Kentucky,KY,21,2015,4425976
278,Louisiana,LA,22,2015,4664628
279,Maine,ME,23,2015,1328262
280,Maryland,MD,24,2015,5985562
281,Massachusetts,MA,25,2015,6794228
282,Michigan,MI,26,2015,9931715
283,Minnesota,MN,27,2015,5482032
284,Mississippi,MS,28,2015,2988471
285,Missouri,MO,29,2015,6071732
286,Montana,MT,30,2015,1030475
287,Nebraska,NE,31,2015,1891277
288,Nevada,NV,32,2015,2866939
289,New Hampshire,NH,33,2015,1336350
290,New Jersey,NJ,34,2015,8867949
291,New Mexico,NM,35,2015,2089291
292,New York,NY,36,2015,19654666
293,North Carolina,NC,37,2015,10031646
294,North Dakota,ND,38,2015,754066
295,Ohio,OH,39,2015,11617527
296,Oklahoma,OK,40,2015,3909500
297,Oregon,OR,41,2015,4015792
298,Pennsylvania,PA,42,2015,12784826
299,Rhode Island,RI,44,2015,1056065
300,South Carolina,SC,45,2015,4891938
301,South Dakota,SD,46,2015,853988
302,Tennessee,TN,47,2015,6591170
303,Texas,TX,48,2015,27470056
304,Utah,UT,49,2015,2981835
305,Vermont,VT,50,2015,625216
306,Virginia,VA,51,2015,8361808
307,Washington,WA,53,2015,7163657
308,West Virginia,WV,54,2015,1842050
309,Wisconsin,WI,55,2015,5760940
310,Wyoming,WY,56,2015,585613
311,Puerto Rico,PR,72,2015,3473232
312,Alabama,AL,1,2016,4863525
313,Alaska,AK,2,2016,741456
314,Arizona,AZ,4,2016,6941072
315,Arkansas,AR,5,2016,2989918
316,California,CA,6,2016,39167117
317,Colorado,CO,8,2016,5539215
318,Connecticut,CT,9,2016,3578141
319,Delaware,DE,10,2016,948921
320,District of Columbia,DC,11,2016,685815
321,Florida,FL,12,2016,20613477
322,Georgia,GA,13,2016,10301890
323,Hawaii,HI,15,2016,1427559
324,Idaho,ID,16,2016,1682380
325,Illinois,IL,17,2016,12820527
326,Indiana,IN,18,2016,6634304
327,Iowa,IA,19,2016,3131371
328,Kansas,KS,20,2016,2910844
329,Kentucky,KY,21,2016,4438182
330,Louisiana,LA,22,2016,4678135
331,Maine,ME,23,2016,1331317
332,Maryland,MD,24,2016,6003323
333,Massachusetts,MA,25,2016,6823608
334,Michigan,MI,26,2016,9950571
335,Minnesota,MN,27,2016,5522744
336,Mississippi,MS,28,2016,2987938
337,Missouri,MO,29,2016,6087135
338,Montana,MT,30,2016,1040859
339,Nebraska,NE,31,2016,1905616
340,Nevada,NV,32,2016,2917563
341,New Hampshire,NH,33,2016,1342307
342,New Jersey,NJ,34,2016,8870827
343,New Mexico,NM,35,2016,2091630
344,New York,NY,36,2016,19633428
345,North Carolina,NC,37,2016,10154788
346,North Dakota,ND,38,2016,754434
347,Ohio,OH,39,2016,11634370
348,Oklahoma,OK,40,2016,3926331
349,Oregon,OR,41,2016,4089976
350,Pennsylvania,PA,42,2016,12782275
351,Rhode Island,RI,44,2016,1056770
352,South Carolina,SC,45,2016,4957968
353,South Dakota,SD,46,2016,862996
354,Tennessee,TN,47,2016,6646010
355,Texas,TX,48,2016,27914410
356,Utah,UT,49,2016,3041868
357,Vermont,VT,50,2016,623657
358,Virginia,VA,51,2016,8410106
359,Washington,WA,53,2016,7294771
360,West Virginia,WV,54,2016,1831023
361,Wisconsin,WI,55,2016,5772628
362,Wyoming,WY,56,2016,584215
363,Puerto Rico,PR,72,2016,3406672
364,Alabama,AL,1,2017,4874486
365,Alaska,AK,2,2017,739700
366,Arizona,AZ,4,2017,7044008
367,Arkansas,AR,5,2017,3001345
368,California,CA,6,2017,39358497
369,Colorado,CO,8,2017,5611885
370,Connecticut,CT,9,2017,3573297
371,Delaware,DE,10,2017,956823
372,District of Columbia,DC,11,2017,694906
373,Florida,FL,12,2017,20963613
374,Georgia,GA,13,2017,10410330
375,Hawaii,HI,15,2017,1424393
376,Idaho,ID,16,2017,1717715
377,Illinois,IL,17,2017,12778828
378,Indiana,IN,18,2017,6658078
379,Iowa,IA,19,2017,3141550
380,Kansas,KS,20,2017,2908718
381,Kentucky,KY,21,2017,4452268
382,Louisiana,LA,22,2017,4670560
383,Maine,ME,23,2017,1334612
384,Maryland,MD,24,2017,6023868
385,Massachusetts,MA,25,2017,6859789
386,Michigan,MI,26,2017,9973114
387,Minnesota,MN,27,2017,5566230
388,Mississippi,MS,28,2017,2988510
389,Missouri,MO,29,2017,6106670
390,Montana,MT,30,2017,1052482
391,Nebraska,NE,31,2017,1915947
392,Nevada,NV,32,2017,2969905
393,New Hampshire,NH,33,2017,1348787
394,New Jersey,NJ,34,2017,8885525
395,New Mexico,NM,35,2017,2091784
396,New York,NY,36,2017,19589572
397,North Carolina,NC,37,2017,10268233
398,North Dakota,ND,38,2017,754942
399,Ohio,OH,39,2017,11659650
400,Oklahoma,OK,40,2017,3931316
401,Oregon,OR,41,2017,4143625
402,Pennsylvania,PA,42,2017,12787641
403,Rhode Island,RI,44,2017,1055673
404,South Carolina,SC,45,2017,5021268
405,South Dakota,SD,46,2017,872868
406,Tennessee,TN,47,2017,6708799
407,Texas,TX,48,2017,28295273
408,Utah,UT,49,2017,3101042
409,Vermont,VT,50,2017,624344
410,Virginia,VA,51,2017,8463587
411,Washington,WA,53,2017,7423362
412,West Virginia,WV,54,2017,1817004
413,Wisconsin,WI,55,2017,5790186
414,Wyoming,WY,56,2017,578931
415,Puerto Rico,PR,72,2017,3325286
416,Alabama,AL,1,2018,4887681
417,Alaska,AK,2,2018,735139
418,Arizona,AZ,4,2018,7158024
419,Arkansas,AR,5,2018,3009733
420,California,CA,6,2018,39461588
421,Colorado,CO,8,2018,5691287
422,Connecticut,CT,9,2018,3571520
423,Delaware,DE,10,2018,965479
424,District of Columbia,DC,11,2018,701547
425,Florida,FL,12,2018,21244317
426,Georgia,GA,13,2018,10511131
427,Hawaii,HI,15,2018,1420593
428,Idaho,ID,16,2018,1750536
429,Illinois,IL,17,2018,12723071
430,Indiana,IN,18,2018,6695497
431,Iowa,IA,19,2018,3148618
432,Kansas,KS,20,2018,2911359
433,Kentucky,KY,21,2018,4461153
434,Louisiana,LA,22,2018,4659690
435,Maine,ME,23,2018,1339057
436,Maryland,MD,24,2018,6035802
437,Massachusetts,MA,25,2018,6882635
438,Michigan,MI,26,2018,9984072
439,Minnesota,MN,27,2018,5606249
440,Mississippi,MS,28,2018,2981020
441,Missouri,MO,29,2018,6121623
442,Montana,MT,30,2018,1060665
443,Nebraska,NE,31,2018,1925614
444,Nevada,NV,32,2018,3027341
445,New Hampshire,NH,33,2018,1353465
446,New Jersey,NJ,34,2018,8886025
447,New Mexico,NM,35,2018,2092741
448,New York,NY,36,2018,19530351
449,North Carolina,NC,37,2018,10381615
450,North Dakota,ND,38,2018,758080
451,Ohio,OH,39,2018,11676341
452,Oklahoma,OK,40,2018,3940235
453,Oregon,OR,41,2018,4181886
454,Pennsylvania,PA,42,2018,12800922
455,Rhode Island,RI,44,2018,1058287
456,South Carolina,SC,45,2018,5084156
457,South Dakota,SD,46,2018,878698
458,Tennessee,TN,47,2018,6771631
459,Texas,TX,48,2018,28628666
460,Utah,UT,49,2018,3153550
461,Vermont,VT,50,2018,624358
462,Virginia,VA,51,2018,8501286
463,Washington,WA,53,2018,7523869
464,West Virginia,WV,54,2018,1804291
465,Wisconsin,WI,55,2018,5807406
466,Wyoming,WY,56,2018,577601
467,Puerto Rico,PR,72,2018,3193354
468,Alabama,AL,1,2019,4903185
469,Alaska,AK,2,2019,731545
470,Arizona,AZ,4,2019,7278717
471,Arkansas,AR,5,2019,3017804
472,California,CA,6,2019,39512223
473,Colorado,CO,8,2019,5758736
474,Connecticut,CT,9,2019,3565287
475,Delaware,DE,10,2019,973764
476,District of Columbia,DC,11,2019,705749
477,Florida,FL,12,2019,21477737
478,Georgia,GA,13,2019,10617423
479,Hawaii,HI,15,2019,1415872
480,Idaho,ID,16,2019,1787065
481,Illinois,IL,17,2019,12671821
482,Indiana,IN,18,2019,6732219
483,Iowa,IA,19,2019,3155070
484,Kansas,KS,20,2019,2913314
485,Kentucky,KY,21,2019,4467673
486,Louisiana,LA,22,2019,4648794
487,Maine,ME,23,2019,1344212
488,Maryland,MD,24,2019,6045680
489,Massachusetts,MA,25,2019,6892503
490,Michigan,MI,26,2019,9986857
491,Minnesota,MN,27,2019,5639632
492,Mississippi,MS,28,2019,2976149
493,Missouri,MO,29,2019,6137428
494,Montana,MT,30,2019,1068778
495,Nebraska,NE,31,2019,1934408
496,Nevada,NV,32,2019,3080156
497,New Hampshire,NH,33,2019,1359711
498,New Jersey,NJ,34,2019,8882190
499,New Mexico,NM,35,2019,2096829
500,New York,NY,36,2019,19453561
501,North Carolina,NC,37,2019,10488084
502,North Dakota,ND,38,2019,762062
503,Ohio,OH,39,2019,11689100
504,Oklahoma,OK,40,2019,3956971
505,Oregon,OR,41,2019,4217737
506,Pennsylvania,PA,42,2019,12801989
507,Rhode Island,RI,44,2019,1059361
508,South Carolina,SC,45,2019,5148714
509,South Dakota,SD,46,2019,884659
510,Tennessee,TN,47,2019,6829174
511,Texas,TX,48,2019,28995881
512,Utah,UT,49,2019,3205958
513,Vermont,VT,50,2019,623989
514,Virginia,VA,51,2019,8535519
515,Washington,WA,53,2019,7614893
516,West Virginia,WV,54,2019,1792147
517,Wisconsin,WI,55,2019,5822434
518,Wyoming,WY,56,2019,578759
519,Puerto Rico,PR,72,2019,3193694
